#
# This work is licensed under the Creative Commons 
# Attribution-NoDerivatives 4.0 International License. 
# To view a copy of this license, visit 
# http://creativecommons.org/licenses/by-nd/4.0/.
#
#       f(Hz)      Re(Z11)      Im(Z11)      Re(Z12)      Im(Z12)      Re(Z21)      Im(Z21)      Re(Z22)      Im(Z22) 
  9.41341e+09     0.472183     -0.88866    -0.115546      1.95301    -0.115546      1.95301     0.472183     -0.88866
  9.47337e+09     0.472184    -0.890723    -0.116498      1.96648    -0.116498      1.96648     0.472184    -0.890723
  9.53332e+09     0.472186    -0.895381    -0.117461      1.97999    -0.117461      1.97999     0.472186    -0.895381
  9.59328e+09     0.472187    -0.900531    -0.118442      1.99354    -0.118442      1.99354     0.472187    -0.900531
  9.65324e+09     0.472189    -0.905728    -0.119436      2.00716    -0.119436      2.00716     0.472189    -0.905728
   9.7132e+09      0.47219    -0.911037    -0.120444      2.02081    -0.120444      2.02081      0.47219    -0.911037
  9.77315e+09     0.472192    -0.912764     -0.12147       2.0345     -0.12147       2.0345     0.472192    -0.912764
  9.83311e+09     0.472193    -0.916686    -0.122534      2.04827    -0.122534      2.04827     0.472193    -0.916686
  9.89307e+09     0.472195    -0.922543    -0.123599      2.06206    -0.123599      2.06206     0.472195    -0.922543
  9.95303e+09     0.472197    -0.926867    -0.124707      2.07592    -0.124707      2.07592     0.472197    -0.926867
